,Time Interval,Pkts number,Avg pkts interval,Avg pkts size,Inbound pkts,Outbound pkts,In pkts interval,Out pkts interval,In pkts size,Out pkts size,Person
303,151.5s - 152.0s,110,0.004218261772727273,1095.5727272727272,52,58,0.008046459215686176,0.00796855157894745,1053.5192307692307,1133.2758620689656,0
304,152.0s - 152.5s,92,0.005867191239130434,954.8260869565217,26,66,0.018434177599999657,0.007593117507692481,561.4230769230769,1109.8030303030303,0
305,152.5s - 153.0s,79,0.006169647341772152,1000.6455696202531,14,65,0.03154130815384694,0.007458790796874837,476.7142857142857,1113.4923076923078,0
306,153.0s - 153.5s,100,0.00511107845,1105.69,39,61,0.012378759552631598,0.008187415033333423,1082.871794871795,1120.27868852459,0
307,153.5s - 154.0s,113,0.0043654227876106155,1105.1592920353983,48,65,0.00957425931914926,0.007246947281249749,1054.5625,1142.5230769230768,0
308,154.0s - 154.5s,158,0.0032072367531645546,1201.6772151898733,92,66,0.005386444087912173,0.007383845169230723,1273.3478260869565,1101.7727272727273,0
309,154.5s - 155.0s,147,0.003334494108843538,1119.7755102040817,80,67,0.00570208691139246,0.007274090742424561,1160.4875,1071.1641791044776,0
310,155.0s - 155.5s,101,0.005057940346534653,1039.1089108910892,40,61,0.012573306333332713,0.008173789216666687,922.15,1115.8032786885246,0
311,155.5s - 156.0s,99,0.005064485333333331,1075.040404040404,30,69,0.016239282551724493,0.007231547602941228,905.1,1148.927536231884,0
312,156.0s - 156.5s,96,0.005173755645833333,985.8541666666666,35,61,0.012384335941177101,0.007671773016666824,723.1428571428571,1136.5901639344263,0
313,156.5s - 157.0s,88,0.005713322250000002,954.6477272727273,26,62,0.017670536919999903,0.00809636229508179,566.8076923076923,1117.2903225806451,0
314,157.0s - 157.5s,121,0.004144959338842974,1124.0826446280992,54,67,0.008486782132075418,0.007447851742424208,1112.037037037037,1133.7910447761194,0
315,157.5s - 158.0s,108,0.004257814666666667,1121.5925925925926,48,60,0.008944309978723348,0.007621733101695258,1095.5208333333333,1142.45,0
316,158.0s - 158.5s,101,0.005349948118811883,1025.3168316831684,34,67,0.014845414121212612,0.007187490166666583,875.7058823529412,1101.2388059701493,0
317,158.5s - 159.0s,107,0.00458846521495327,1048.5420560747664,43,64,0.011197470119047434,0.007631968587301369,987.953488372093,1089.25,0
318,159.0s - 159.5s,136,0.0037440051985294133,1138.235294117647,71,65,0.006712174457142948,0.007635922140624807,1147.6338028169014,1127.9692307692308,0
319,159.5s - 160.0s,158,0.0031184043101265832,1206.8227848101267,95,63,0.0052307435744680525,0.007921075677419166,1268.5263157894738,1113.7777777777778,0
320,160.0s - 160.5s,164,0.003042817963414633,1196.7012195121952,99,65,0.004903501642857288,0.007286853359375289,1225.888888888889,1152.246153846154,0
321,160.5s - 161.0s,152,0.0033077916578947387,1190.3092105263158,88,64,0.005661673321839089,0.00765437038095225,1225.590909090909,1141.796875,0
322,161.0s - 161.5s,163,0.003062939478527606,1184.6564417177915,100,63,0.004941860989898967,0.007892454370967757,1228.57,1114.952380952381,0
323,161.5s - 162.0s,130,0.0038418558461538435,1119.2384615384615,66,64,0.007534291261538329,0.007621243142857169,1133.909090909091,1104.109375,0
324,162.0s - 162.5s,158,0.0031690358354430396,1179.6645569620252,90,68,0.005512012910112466,0.007322402626865613,1231.8666666666666,1110.5735294117646,0
325,162.5s - 163.0s,151,0.003311971966887417,1144.3774834437086,87,64,0.005701114779069776,0.007618015206349226,1174.9885057471265,1102.765625,0
326,163.0s - 163.5s,125,0.0040051209600000005,1128.328,58,67,0.007903020596491192,0.007149467727272581,1182.9827586206898,1081.0149253731342,0
327,163.5s - 164.0s,154,0.003255139272727273,1209.1688311688313,91,63,0.005226692544444391,0.007955094596774133,1244.0,1158.857142857143,0
328,164.0s - 164.5s,155,0.0032250698580645176,1172.6967741935484,92,63,0.00528171867032957,0.007915614419354894,1237.6847826086957,1077.7936507936508,0
329,164.5s - 165.0s,157,0.003187997121019108,1176.2993630573249,95,62,0.005218356127659747,0.008042550147540736,1215.3684210526317,1116.4354838709678,0
330,165.0s - 165.5s,124,0.0039908832419354836,1139.3629032258063,61,63,0.0075167165166665955,0.007831947612903293,1185.655737704918,1094.5396825396826,0
331,165.5s - 166.0s,131,0.003862330030534352,1141.4045801526718,63,68,0.007911155387096682,0.0074010267462688096,1207.936507936508,1079.764705882353,0
332,166.0s - 166.5s,128,0.0038339115390624997,1086.3671875,65,63,0.00687600414062528,0.00775121375806471,1079.923076923077,1093.015873015873,0
333,166.5s - 167.0s,94,0.005429175148936171,1076.4787234042553,28,66,0.018171318222222774,0.007392912430768862,927.0357142857143,1139.878787878788,0
334,167.0s - 167.5s,108,0.004648387046296297,1127.0462962962963,46,62,0.009774388822221959,0.007885769032786923,1110.7608695652175,1139.1290322580646,0
335,167.5s - 168.0s,139,0.0035872972230215814,1170.5611510791366,79,60,0.0062900405897436664,0.007974677864406896,1209.4556962025317,1119.35,0
336,168.0s - 168.5s,135,0.003708729377777777,1164.8296296296296,66,69,0.007545579646154011,0.007211161411764438,1219.0757575757575,1112.9420289855072,0
337,168.5s - 169.0s,103,0.004829710912621359,1020.1553398058253,37,66,0.012531232444444306,0.007583237861538587,863.4324324324324,1108.0151515151515,0
338,169.0s - 169.5s,77,0.006342859597402597,1046.3896103896104,17,60,0.024390243750000096,0.008107264271186389,568.0588235294117,1181.9166666666667,0
339,169.5s - 170.0s,87,0.005807770080459769,983.3333333333334,18,69,0.028810946176470092,0.0070621848970588985,502.44444444444446,1108.7826086956522,0
340,170.0s - 170.5s,95,0.0052680019578947345,1064.0736842105264,29,66,0.015353277749999807,0.007399792815384934,966.7586206896551,1106.8333333333333,0
341,170.5s - 171.0s,145,0.003451827303448276,1202.2551724137932,82,63,0.006048208925925719,0.007530149661290451,1268.719512195122,1115.7460317460318,0
342,171.0s - 171.5s,107,0.004714233485981307,1099.9532710280373,44,63,0.008825002418605166,0.007958710129032405,1060.7954545454545,1127.3015873015872,0
343,171.5s - 172.0s,82,0.006121766597560976,1005.6951219512196,17,65,0.02890319462500024,0.00768500071874989,477.4117647058824,1143.8615384615384,0
344,172.0s - 172.5s,78,0.006128225538461538,1024.8333333333333,12,66,0.02755581654545577,0.0072060797076919526,624.25,1097.6666666666667,0
345,172.5s - 173.0s,99,0.0052601151818181795,1027.6666666666667,38,61,0.009691041864864412,0.0075695935000003566,897.5,1108.7540983606557,0
346,173.0s - 173.5s,100,0.005019215979999998,987.72,33,67,0.014313799249999981,0.0074517593787877595,754.4848484848485,1102.597014925373,0
347,173.5s - 174.0s,96,0.005166887187499999,1061.25,35,61,0.014131342941176265,0.00809838931666699,935.8,1133.2295081967213,0
348,174.0s - 174.5s,87,0.005739755149425288,972.8850574712644,25,62,0.01582688366666692,0.007976459885245821,573.24,1134.032258064516,0
349,174.5s - 175.0s,85,0.0059446482823529425,1002.4705882352941,21,64,0.015998720349999475,0.007876359714285422,610.7142857142857,1131.015625,0
350,175.0s - 175.5s,116,0.004257335465517243,1088.7758620689656,49,67,0.009944454958333182,0.007072049863636339,1082.7142857142858,1093.2089552238806,0
351,175.5s - 176.0s,143,0.0034525485594405613,1164.2517482517483,81,62,0.004249401825000021,0.007899866967213282,1203.037037037037,1113.5806451612902,0
352,176.0s - 176.5s,100,0.005038097,1158.86,37,63,0.010594468444444437,0.007804069225806364,1133.7297297297298,1173.6190476190477,0
353,176.5s - 177.0s,93,0.005339860720430108,999.3978494623656,29,64,0.016406057642857012,0.007722009666666609,797.3448275862069,1090.953125,0
354,177.0s - 177.5s,104,0.004808928336538462,1014.8365384615385,39,65,0.011044926763157778,0.007103043859374658,892.6666666666666,1088.1384615384616,0
355,177.5s - 178.0s,92,0.0055642389456521755,962.3586956521739,29,63,0.016072709607143004,0.007985527483870578,582.2758620689655,1137.3174603174602,0
356,178.0s - 178.5s,101,0.004942320297029705,1100.079207920792,41,60,0.01151410129999988,0.007468363711864359,1050.2926829268292,1134.1,0
